Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Elec_5x5.3,26.2665,-13.081,180.0,bottom
C2,100nF,C_0603_1608Metric,20.5105,-20.32,0.0,bottom
C3,100nF,C_0603_1608Metric,6.4515,-47.9425,0.0,bottom
C4,10uF,CP_Elec_5x5.3,15.24,-16.342,270.0,bottom
C5,100nF,C_0603_1608Metric,16.002,-21.1455,0.0,bottom
C6,100nF,C_0603_1608Metric,1.143,-85.7885,270.0,bottom
C7,100nF,C_0603_1608Metric,6.35,-81.6355,270.0,bottom
C8,100nF,C_0603_1608Metric,14.516,-90.7415,0.0,bottom
C9,100nF,C_0603_1608Metric,13.1825,-92.964,0.0,bottom
C10,100nF,C_0603_1608Metric,15.9765,-109.5375,0.0,bottom
C11,100nF,C_0603_1608Metric,24.4855,-102.0445,0.0,bottom
C12,1nF,C_0603_1608Metric,4.064,-59.7535,0.0,bottom
C13,1nF,C_0603_1608Metric,15.6465,-37.0205,180.0,bottom
C14,1nF,C_0603_1608Metric,15.5195,-65.278,180.0,bottom
C15,100nF,C_0603_1608Metric,2.6035,-54.648,90.0,bottom
C16,100nF,C_0603_1608Metric,12.446,-54.1655,90.0,bottom
C17,0.47uF,C_0603_1608Metric,6.388,-31.623,0.0,bottom
C18,100nF,C_0603_1608Metric,2.794,-37.808,90.0,bottom
C19,100nF,C_0603_1608Metric,2.794,-34.4425,270.0,bottom
C20,100nF,C_0603_1608Metric,23.9522,-22.4282,0.0,bottom
C21,100nF,C_0603_1608Metric,19.3802,-25.3492,270.0,bottom
C22,100nF,C_0603_1608Metric,22.352,-46.863,0.0,bottom
C23,100nF,C_0603_1608Metric,17.526,-53.721,90.0,bottom
C24,100nF,C_0603_1608Metric,17.2465,-77.7748,0.0,bottom
C25,100nF,C_0603_1608Metric,14.1477,-83.058,0.0,bottom
C26,4.7nF,C_0603_1608Metric,23.622,-76.1746,180.0,bottom
C27,680pF,C_0603_1608Metric,19.304,-46.863,180.0,bottom
C28,100nF,C_0603_1608Metric,2.54,-66.586,90.0,bottom
C29,100nF,C_0603_1608Metric,2.54,-63.3985,270.0,bottom
FB1,220,R_0603_1608Metric,19.4055,-12.446,180.0,bottom
FB2,220,R_0603_1608Metric,11.9125,-21.1455,180.0,bottom
Q1,BC858,SOT-363_SC-70-6,19.4056,-74.2696,90.0,bottom
Q3,BC858,SOT-23,20.8534,-34.7218,0.0,bottom
R1,1K,R_0603_1608Metric,14.5415,-89.0905,180.0,bottom
R2,100K,R_0603_1608Metric,4.826,-90.2462,0.0,bottom
R3,100K,R_0603_1608Metric,3.1495,-79.1845,180.0,bottom
R4,1K,R_0603_1608Metric,23.8252,-85.6234,0.0,bottom
R5,1K,R_0603_1608Metric,14.516,-95.4405,180.0,bottom
R6,100K,R_0603_1608Metric,3.4035,-99.441,180.0,bottom
R7,100K,R_0603_1608Metric,3.4035,-102.743,180.0,bottom
R8,100K,R_0603_1608Metric,3.4035,-101.092,180.0,bottom
R9,100K,R_0603_1608Metric,3.1495,-77.597,180.0,bottom
R10,1K,R_0603_1608Metric,23.8252,-92.837,180.0,bottom
R11,1K,R_0603_1608Metric,11.1505,-107.569,180.0,bottom
R12,1K,R_0603_1608Metric,28.5115,-107.8865,90.0,bottom
R13,4.7K,R_0603_1608Metric,11.214,-47.9425,0.0,bottom
R14,1K,R_0603_1608Metric,11.1505,-117.729,180.0,bottom
R15,10K,R_0603_1608Metric,27.3685,-112.7125,0.0,bottom
R16,1K,R_0603_1608Metric,26.6065,-115.062,270.0,bottom
R17,10K,R_0603_1608Metric,24.4855,-98.2345,0.0,bottom
R18,10K,R_0603_1608Metric,27.3685,-111.125,0.0,bottom
R19,10K,R_0603_1608Metric,24.4855,-99.822,0.0,bottom
R20,10K,R_0603_1608Metric,4.064,-58.166,0.0,bottom
R21,10K,R_0603_1608Metric,9.182,-40.7035,0.0,bottom
R22,10K,R_0603_1608Metric,9.8425,-70.5485,180.0,bottom
R23,10K,R_0603_1608Metric,15.456,-61.849,180.0,bottom
R24,10K,R_0603_1608Metric,15.6465,-38.608,180.0,bottom
R25,10K,R_0603_1608Metric,15.5195,-66.8655,180.0,bottom
R26,10K,R_0603_1608Metric,9.8425,-73.7235,180.0,bottom
R27,10K,R_0603_1608Metric,12.065,-59.7535,0.0,bottom
R28,10K,R_0603_1608Metric,8.3566,-45.593,0.0,bottom
R29,220R,R_0603_1608Metric,8.9535,-58.166,0.0,bottom
R30,220R,R_0603_1608Metric,8.9535,-59.7535,180.0,bottom
R31,220R,R_0603_1608Metric,8.3566,-44.0055,180.0,bottom
R32,220R,R_0603_1608Metric,9.182,-42.291,180.0,bottom
R33,220R,R_0603_1608Metric,9.8425,-72.136,180.0,bottom
R34,220R,R_0603_1608Metric,9.8425,-68.961,0.0,bottom
R35,10K,R_0603_1608Metric,14.3255,-47.9425,0.0,bottom
R36,1.8K,R_0603_1608Metric,16.0782,-27.2796,0.0,bottom
R37,10K,R_0603_1608Metric,14.313,-51.1175,180.0,bottom
R38,10K,R_0603_1608Metric,14.3255,-49.53,0.0,bottom
R39,10K,R_0603_1608Metric,15.6465,-33.655,0.0,bottom
R40,10K,R_0603_1608Metric,9.4995,-31.623,0.0,bottom
R41,220R,R_0603_1608Metric,11.0745,-29.972,180.0,bottom
R42,220R,R_0603_1608Metric,11.0745,-28.3845,180.0,bottom
R43,4.7K,R_0603_1608Metric,23.622,-74.5744,0.0,bottom
R44,100K,R_0603_1608Metric,22.352,-45.2755,180.0,bottom
R45,10K,R_0603_1608Metric,24.8412,-40.3352,270.0,bottom
R46,1K,R_0603_1608Metric,23.241,-40.3352,90.0,bottom
R47,220K,R_0603_1608Metric,21.2852,-66.8401,0.0,bottom
R48,1K,R_0603_1608Metric,23.622,-72.9996,0.0,bottom
R49,100K,R_0603_1608Metric,19.304,-45.2755,0.0,bottom
R50,470K,R_0603_1608Metric,23.622,-77.7748,180.0,bottom
R51,100K,R_0603_1608Metric,12.954,-73.7108,180.0,bottom
R52,47K,R_0603_1608Metric,9.8425,-75.2856,180.0,bottom
R53,100K,R_0603_1608Metric,12.954,-75.2856,180.0,bottom
R54,1M,R_0603_1608Metric,20.828,-61.2775,180.0,bottom
R55,1K,R_0603_1608Metric,20.828,-56.515,180.0,bottom
R56,100K,R_0603_1608Metric,21.2852,-65.2653,0.0,bottom
R57,1M,R_0603_1608Metric,20.828,-58.1025,0.0,bottom
R58,1M,R_0603_1608Metric,20.828,-59.69,180.0,bottom
R59,47K,R_0603_1608Metric,7.9248,-99.441,180.0,bottom
R60,100K,R_0603_1608Metric,10.922,-80.1878,180.0,bottom
R61,47K,R_0603_1608Metric,10.922,-81.8134,180.0,bottom
RV1,100K BALANCE,Potentiometer_Bourns_TC33X_Vertical,5.4356,-93.6006,0.0,bottom
RV3,100K NOTCH DEPTH,Potentiometer_Bourns_TC33X_Vertical,20.2565,-99.2505,270.0,bottom
RV5,100K QFR,Potentiometer_Bourns_TC33X_Vertical,23.3426,-29.4386,0.0,bottom
RV8,1K TUNE,Potentiometer_Bourns_TC33X_Vertical,23.5712,-81.153,270.0,bottom
U1,TL074,TSSOP-14_4.4x5mm_P0.65mm,21.7805,-89.2175,270.0,bottom
U2,TL072,TSSOP-8_4.4x3mm_P0.65mm,3.683,-83.947,0.0,bottom
U3,TL074,TSSOP-14_4.4x5mm_P0.65mm,21.7805,-109.5375,270.0,bottom
U4,LM4040C5,SOT-23,11.877,-45.355,0.0,bottom
U5,TL074,TSSOP-14_4.4x5mm_P0.65mm,7.6835,-54.483,270.0,bottom
U6,LM13700,SOIC-16_3.9x9.9mm_P1.27mm,8.6995,-64.3255,0.0,bottom
U7,LM13700,SOIC-16_3.9x9.9mm_P1.27mm,8.8265,-36.1315,0.0,bottom
U8,TL072,TSSOP-8_4.4x3mm_P0.65mm,24.0538,-25.019,270.0,bottom
U9,TL072,TSSOP-8_4.4x3mm_P0.65mm,20.1295,-51.6255,180.0,bottom
U10,TL072,TSSOP-8_4.4x3mm_P0.65mm,16.6116,-80.3656,270.0,bottom
